id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
01012,D. Cheese cottage,1,Cheese. cottage. creamed. large or small curd,,,98,11,4,3,0,80,83,0,8,159,104,315,0,0,0,10,0,0,0,0,1,0,12,18,0,37,0,0,0,0.0,0.1,0.8,0.1,1.7,0,0.6,0.7,0.5,0.1,0.3,1.1,0.6,0.9,0.3
01017,D. Cheese cream,1,Cheese. cream,,,350,6,34,6,0,53,97,0,9,107,132,314,1,0,0,9,0,0,0,0,1,0,9,27,0,308,1,0,2,0.1,1.2,8.9,1.5,20.2,1.2,0.3,0.4,0.2,0.1,0.2,0.7,0.3,0.6,0.2
43597,D. Cheese. Mozarella,1,Cheese. mozzarella. low sodium,,,280,28,17,3,0,50,731,0,26,524,95,16,3,0,0,16,0,0,0,0,0,0,9,18,1,137,0,0,2,0.2,0.4,4.8,0.5,10.9,0,0,0,0,0,0,0,0,0,0
01287,D. Greek yogurt,1,Yogurt. Greek. plain. lowfat,,,73,10,2,4,0,84,115,0,11,137,141,34,1,0,0,12,1,0,0,0,0,0,12,15,1,90,0,0,0,0.0,0.1,0.5,0.1,1.2,0.1,0.3,0.4,0.2,0.0,0.2,0.5,0.3,0.5,0.1
01175,D. Milk. lowfat 1g f,1,Milk. fluid. 1% fat. without added vitamin A and vitamin D,,,42,3,1,5,0,90,125,0,11,95,150,44,0,0,0,3,0,0,0,0,0,0,5,18,0,14,0,0,0,0.0,0.0,0.3,0.0,0.6,0,0.2,0.2,0.1,0.0,0.1,0.3,0.2,0.3,0.1
01056,D. Sour cream,1,Cream. sour. cultured,,,198,2,19,5,0,73,101,0,10,76,125,31,0,0,0,4,1,0,0,0,0,0,6,19,0,124,0,0,2,0.1,0.6,4.6,0.8,10.1,0.8,0.2,0.2,0.1,0.0,0.1,0.3,0.2,0.3,0.1
01118,D. Yogurt,1,Yogurt. plain. skim milk,,,56,6,0,8,0,85,199,0,19,157,255,77,1,0,0,4,1,0,0,0,1,0,12,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
09003,F. Apple,1,Apples. raw. with skin (Includes foods for USDA's Food Distribution Program),,,52,0,0,14,2,86,6,0,5,11,107,1,0,0,0,0,5,0,0,0,0,0,3,3,0,3,0,0,2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09021,F. Apricots,1,Apricots. raw,,,48,1,0,11,2,86,13,0,10,23,259,1,0,0,0,0,10,0,0,1,0,0,9,3,0,96,1,0,3,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
09037,F. Avocados,1,Avocados. raw. all commercial varieties,,,160,2,15,9,7,73,12,1,29,52,485,7,1,0,0,0,10,0,0,2,1,0,81,14,0,7,2,0,21,0.1,1.7,9.8,1.8,2.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0
09040,F. Banana,1,Bananas. raw,,,89,1,0,23,3,75,5,0,27,22,358,1,0,0,0,1,9,0,0,1,0,0,20,10,0,3,0,0,1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1
09050,F. Blueberries,1,Blueberries. raw,,,57,1,0,14,2,84,6,0,6,12,77,1,0,0,0,0,10,0,0,0,0,0,6,6,0,3,1,0,19,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09181,F. Cantalupe,1,Melons. cantaloupe. raw,,,34,1,0,8,1,90,9,0,12,15,267,16,0,0,0,0,37,0,0,1,0,0,21,8,0,169,0,0,3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09078,F. Cranberries,1,Cranberries. raw,,,46,0,0,12,4,87,8,0,6,11,80,2,0,0,0,0,14,0,0,0,0,0,1,6,0,3,1,0,5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
09089,F. Figs,1,Figs. raw,,,74,1,0,19,3,79,35,0,17,14,232,1,0,0,0,0,2,0,0,0,0,0,6,5,0,7,0,0,5,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09132,F. Grapes,1,Grapes. red or green (European type. such as Thompson seedless). raw,,,69,1,0,18,1,81,10,0,7,20,191,2,0,0,0,0,3,0,0,0,0,0,2,6,0,3,0,0,15,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09148,F. Kiwi,1,Kiwifruit. green. raw,,,61,1,1,15,3,83,34,0,17,34,312,3,0,0,0,0,93,0,0,0,0,0,25,8,0,4,1,0,40,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0
09218,F. Mandarin oranges,1,Tangerines. (mandarin oranges). raw,,,53,1,0,13,2,85,37,0,12,20,166,2,0,0,0,0,27,0,0,0,0,0,16,10,0,34,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09176,F. Mango,1,Mangos. raw,,,60,1,0,15,2,83,11,0,10,14,168,1,0,0,0,1,36,0,0,1,0,0,43,8,0,54,1,0,4,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
09184,F. Melons,1,Melons. honeydew. raw,,,36,1,0,9,1,90,6,0,10,11,228,18,0,0,0,1,18,0,0,0,0,0,19,8,0,3,0,0,3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09193,F. Olives. black,1,Olives. ripe. canned (small-extra large),,,116,1,11,6,2,80,88,6,4,3,8,735,0,0,0,1,1,0,0,0,0,0,0,10,0,17,2,0,1,0.0,0.6,7.7,0.6,2.3,0.0,0.0,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0
09195,F. Olives. green,1,Olives. pickled. canned or bottled. green,,,145,1,15,4,3,75,52,0,11,4,42,1556,0,0,0,1,0,0,0,0,0,0,3,14,0,20,4,0,1,0.1,1.2,11.3,1.3,2.0,0.0,0,0,0,0,0,0,0,0,0
