id,supplier,name,active,description,category,timestamp,usda_id,price_per_kg,price_per_unit,usda_weight_unit_g,weight_net_g,price_total,organic,origin,picture
wi196282,NL ah,AH BASIC Tablet puur 100 g ,1,,Snoep. koek. chips/Pure chocolade,,19902,4.9,,,100 g,0.49,,,https://static.ah.nl/static/product/AHI_434d50303930383537_2_LowRes_JPG.JPG
wi172376,NL ah,Grand'Italia Pasta per zuppa vermicelli 250 g ,1,,Soepen. conserven. sauzen. smaakmakers/Vermicelli,,20420,4.88,,,250 g,1.22,,,https://static.ahold.com/cmgtcontent/media//001755400/000/001755434_004_172376_708.jpg
wi162837,NL ah,Remia Satésaus hot kant-en-klaar 265 ml ,1,,Pasta. rijst. internationale keuken/Satésaus,,27059,4.867924528,,,265 ml,1.29,,,https://static.ahold.com/cmgtcontent/media//001253100/000/001253194_001_162837_708.jpg
wi197736,NL ah,AH BASIC Katjang pedis 300 g ,1,,Snoep. koek. chips/Pinda's (groot),,16087,4.866666667,,,300 g,1.46,,,https://static.ah.nl/static/product/AHI_434d50313036313132_1_LowRes_JPG.JPG
wi367996,NL ah,Quaker Havermout granola naturel 450 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Granola (naturel),,08037,4.866666667,,,450 g,2.19,,,https://static.ah.nl/static/product/AHI_434d50323835313830_3_LowRes_JPG.JPG
wi53543/,NL ah,Ouwehand Rolmops 355 g ,1,,Soepen. conserven. sauzen. smaakmakers/Haring (conserven),,15041,4.845070423,,,355 g,1.72,,,https://static.ah.nl/static/product/AHI_434d50303133373730_2_LowRes_JPG.JPG
wi53542/,NL ah,Ouwehand Zure haring 355 g ,1,,Soepen. conserven. sauzen. smaakmakers/Haring (conserven),,15041,4.845070423,,,355 g,1.72,,,https://static.ah.nl/static/product/AHI_434d50303133373433_2_LowRes_JPG.JPG
wi222201,NL ah,Solo Boter plantaardig 250 g ,1,,Zuivel. eieren/Ongezouten roomboter,,01145,4.84,,,250 g,1.21,,,https://static.ahold.com/cmgtcontent/media//001099700/000/001099714_002_222201_708.jpg
wi203286,NL ah,Hak Witte bonen in tomatensaus 180 g ,1,,Aardappel. groente. fruit/Witte bonen (conserven),,11046,4.833333333,,,180 g,0.87,,,https://static.ahold.com/cmgtcontent/media//001553400/000/001553418_003_203286_708.jpg
wi195556,NL ah,Bonduelle Bruine bonen 175 g ,1,,Aardappel. groente. fruit/Bruine bonen (conserven),,16027,4.8,,,175 g,0.84,,,https://static.ah.nl/static/product/AHI_434d5035313030363236_1_LowRes_JPG.JPG
wi198359,NL ah,Yanco Tiantan vermicelli 100 g ,1,,Soepen. conserven. sauzen. smaakmakers/Vermicelli,,20420,4.8,,,100 g,0.48,,,https://static.ah.nl/static/product/AHI_434d50303432323139_1_LowRes_JPG.JPG
wi236940,NL ah,AH Avocado's 750 g ,1,,Aardappel. groente. fruit/Avocado,,09037,4.786666667,,,750 g,3.59,,,https://static.ah.nl/static/product/AHI_434d50313934393638_3_LowRes_JPG.JPG
wi165310,NL ah,Del Monte Halve abrikozen op lichte siroop 227 g ,1,,Aardappel. groente. fruit/Abrikozen (conserven),,09021,4.757709251,,,227 g,1.08,,,https://static.ahold.com/cmgtcontent/media//001641000/000/001641052_002_165310_708.jpg
wi104081,NL ah,Bonduelle Kikkererwten 310 g ,1,,Aardappel. groente. fruit/Kikkererwten (conserven),,16056,4.741935484,,,310 g,1.47,,,https://static.ah.nl/static/product/AHI_434d50313734373037_2_LowRes_JPG.JPG
wi223179,NL ah,Elvea Cubetti tomatenblokjes arrabbiata 400 g ,1,,Pasta. rijst. internationale keuken/Tomatenblokjes (conserven),,11529,4.725,,,400 g,1.89,,,https://static.ah.nl/static/product/AHI_434d5033373235333130_1_LowRes_JPG.JPG
