id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
12120,Hazelnuts,1,Nuts. hazelnuts or filberts,,,628,14.95,60.75,16.7,9.7,5.31,114,4.7,163,290,680,0,2.45,1.725,,6.175,2.4,6.3,0.643,0.113,1.8,0.918,0.563,113,45.6,0,1,15.03,0,14.2,0.087,7.833,45.652,7.92,4.464,0,0.663,0.701,0.497,0.193,0.221,1.063,0.545,0.42,0.432
16087,Peanuts,1,Peanuts. all types. raw,,,567,25.8,49.24,16.13,8.5,6.5,92,4.58,168,376,705,18,3.27,1.144,,1.934,7.2,0,0.64,0.135,12.066,1.767,0.348,240,52.5,0,0,8.33,0,0,0.003,15.555,24.426,15.558,6.279,0,1.377,1.082,0.883,0.25,0.317,1.672,0.907,0.926,0.652
12142,Pecan,1,Nuts. pecans,,,691,9.17,71.97,13.86,9.6,3.52,70,2.53,121,277,410,0,4.53,1.2,,4.5,3.8,1.1,0.66,0.13,1.167,0.863,0.21,22,40.5,0,3,1.4,0,3.5,0.986,20.628,40.801,21.614,6.18,0,0.426,0.411,0.306,0.093,0.183,0.598,0.336,0.287,0.262
12147,Pine nuts,1,Nuts. pine nuts. dried,,,673,13.69,68.37,13.08,3.7,2.28,16,5.53,251,575,597,2,6.45,1.324,,8.802,0.7,0.8,0.364,0.227,4.387,0.313,0.094,34,55.8,0,1,9.33,0,53.9,0.164,33.15,18.764,34.071,4.899,0,0.524,0.687,0.37,0.107,0.259,0.991,0.542,0.54,0.341
12151,Pistachios,1,Nuts. pistachio nuts. raw,,,560,20.16,45.32,27.17,10.6,4.37,105,3.92,121,490,1025,1,2.2,1.3,,1.2,7,5.6,0.87,0.16,1.3,0.52,1.7,51,0,0,26,2.86,0,0,0.289,14.091,23.257,14.38,5.907,0,1.092,1.249,0.684,0.251,0.36,1.604,0.917,1.138,0.512
12155,Walnuts,1,Nuts. walnuts. english,,,654,15.23,65.21,13.71,6.7,4.07,98,2.91,158,346,441,2,3.09,1.586,,3.414,4.9,1.3,0.341,0.15,1.125,0.57,0.537,98,39.2,0,1,0.7,0,2.7,9.08,38.093,8.933,47.174,6.126,0,0.711,0.753,0.596,0.17,0.236,1.17,0.625,0.424,0.391
11011,Asparagus,1,Asparagus. raw,,,20,2.2,0.12,3.88,2.1,93.22,24,2.14,14,52,202,2,0.54,0.189,,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52,16,0,38,1.13,0,41.6,0.01,0.04,0,0.05,0.04,0,0.075,0.115,0.084,0.027,0.031,0.128,0.075,0.104,0.049
11080,Beets,1,Beets. raw,,,43,1.61,0.17,9.56,2.8,87.58,16,0.8,23,40,325,78,0.35,0.075,,0.329,0.7,4.9,0.031,0.04,0.334,0.155,0.067,109,6,0,2,0.04,0,0.2,0.005,0.055,0.032,0.06,0.027,0,0.046,0.056,0.047,0.019,0.018,0.068,0.048,0.058,0.021
11333,Bell pepper. green,1,Peppers. sweet. green. raw,,,20,0.86,0.17,4.64,1.7,93.89,10,0.34,10,20,175,3,0.13,0.066,,0.122,0,80.4,0.057,0.028,0.48,0.099,0.224,10,5.5,0,18,0.37,0,7.4,0.008,0.054,0.008,0.062,0.058,0,0.092,0.036,0.036,0.012,0.007,0.036,0.024,0.039,0.01
11821,Bell pepper. red,1,Peppers. sweet. red. raw,,,26,0.99,0.3,6.03,2.1,92.21,7,0.43,12,26,211,4,0.25,0.017,,0.112,0.1,127.7,0.054,0.085,0.979,0.317,0.291,46,5.6,0,157,1.58,0,4.9,0.056,0.1,0.007,0.156,0.059,0,0.05,0.031,0.04,0.012,0.006,0.036,0.021,0.036,0.017
